Apartmentname,Addresss,Availability
SOBHA ARBOR,"['Eco-friendly luxury apartments', 'Near Porur, Chennai | 1539 to 2445 sq.ft. | 3 & 4 BHK']",101 Apartments Available
SOBHA GARDENIA,"['Luxury Villas', 'Vengaivasal, Chennai | 1334 to 3365 Sq.ft. | 2, 3 & 4 BHK']",2 Villas Available
SOBHA WINCHESTER APARTMENTS,"['Luxury Apartments in Chennai', '200 Ft, Pallavaram - Thuraipakkam Rd, Chennai | 652 to 2807 Sq.ft. | 1, 2 & 3 BHK']",Sold Out
SOBHA BLOSSOM,"['Plotted development', 'Tambaram Kishkinta Road, Chennai | 604 to 2384 Sq.ft. | ']",2 Plots Available
SOBHA EVERGREENS,"['Plotted Development', 'Nandambakkam - Kundrathur, Chennai | 2583 to 5037 Sq.ft. | ']",7 Plots Available
SOBHA SERENE,"['Luxury Apartments', 'Near Ramachandra Hospital, Chennai | 1315 to 1739 Sq.ft. | 2 & 3 BHK']",1 Apartment Available
