Apartmentname,Addresss,Availability
SOBHA ATLANTIS,"['Luxury Apartments', 'Vyttila, Silversand Island, Kochi | 1850 to 3118 Sq.ft. | 3 & 4 BHK']",285 Apartments Available
MARINA ONE,"['Super Luxury Apartments', 'Marine Drive, Kochi | 2296 to 3710 Sq.ft. | 3 & 4 BHK']",606 Apartments Available
