Apartmentname,Addresss,Availability
SOBHA AVALON,"['Luxury Apartments', 'Near Ahmedabad, Gujarat | 735 - 2277 Sq.ft. | 1, 1.5, 2 & 3 BHK']",74 Apartments Available
SOBHA DREAM HEIGHTS,"['Luxury Apartments', 'Gandhinagar, Ahmedabad | 1090 to 1140 Sq.ft. | 2 BHK']",Sold Out
