Apartmentname,Addresss,Availability
SOBHA METROPOLIS,"['Luxury Apartments', 'Ollur Road, Kuttanellur, Thrissur | 1529 to 2842 Sq. ft. | 2, 3 & 4 BHK']",133 Apartments Available
SOBHA SILVER ESTATE,"['Super Luxury Villas', 'Attore, Thrissur | 2741 to 3633 Sq.ft. | 3 & 4 BHK']",25 Villas Available
SOBHA LAKE EDGE,"['Super Luxury Apartments', 'Puzhakkal, Punkunnam, Thrissur | 3313 to 3325 Sq.ft. | 4 BHK']",3 Apartments Available
